,idx,step,date,position_index,position,real_position,data_low,data_volume,data_open,data_high,data_Volume USD,data_unix,data_symbol,data_close,portfolio_valuation,portfolio_distribution_asset,portfolio_distribution_fiat,portfolio_distribution_borrowed_asset,portfolio_distribution_borrowed_fiat,portfolio_distribution_interest_asset,portfolio_distribution_interest_fiat,reward
10,14,10,2018-05-22T19:00:00.000000000,tensor([2]),1,0.9999969729635514,8161.77,2154447.98,8219.98,8230.9,263.1,1527015600,BTC/USD,8187.98,9979.70086656843,1.2188196182269815,0.030208918269636342,0,0,0.0,0.0,-0.0040980324020669515
11,15,11,2018-05-22T20:00:00.000000000,tensor([0]),-1,-0.978820742231864,8063.15,3726655.56,8187.98,8205.0,457.64,1527019200,BTC/USD,8100.32,10084.496201243728,0,19955.41025797953,1.2185795677309623,0,3.6557387031928867e-06,0.0,0.010446098317990017
12,16,12,2018-05-22T21:00:00.000000000,tensor([2]),1,0.9999970544905885,8050.01,3645274.58,8100.32,8118.98,451.55,1527022800,BTC/USD,8076.99,10053.491331633784,1.2447039948025749,0.02961265333578922,0,0,0.0,0.0,-0.0030792445429496103
13,17,13,2018-05-22T22:00:00.000000000,tensor([2]),1,0.9999970129748185,7951.41,7709536.04,8076.99,8103.07,962.22,1527026400,BTC/USD,7964.73,9913.760861177247,1.2447039948025749,0.02961265333578922,0,0,0.0,0.0,-0.013996192377686305
14,18,14,2018-05-22T23:00:00.000000000,tensor([0]),-1,-1.0048767990064993,7964.73,3050737.29,7964.73,8040.95,381.04,1527030000,BTC/USD,7984.08,9887.668224933395,0,19823.55662044274,1.2444587964967262,0,3.7333763894901783e-06,0.0,-0.0026354311330332968
15,19,15,2018-05-23T00:00:00.000000000,tensor([2]),1,0.9999969716100509,7949.35,3091965.82,7984.08,8032.01,386.95,1527033600,BTC/USD,7949.35,9842.713872438255,1.2381747016878726,0.02980757576369797,0,0,0.0,0.0,-0.004556873765889433
16,20,16,2018-05-23T01:00:00.000000000,tensor([0]),-1,-0.9878179809084237,7861.32,7145257.61,7949.35,7960.25,905.87,1527037200,BTC/USD,7900.61,9901.052937434084,0,19681.49105895764,1.2379308408207992,0,3.713792522462397e-06,0.0,0.005909635718720687
17,21,17,2018-05-23T02:00:00.000000000,tensor([1]),0,0.0,7865.0,3581660.98,7900.61,7920.0,453.48,1527040800,BTC/USD,7895.5,9900.07479580777,0,9900.07479580777,0,0,0.0,0.0,-9.879655747762561e-05
18,22,18,2018-05-23T03:00:00.000000000,tensor([1]),0,0.0,7886.48,4303268.66,7895.5,7960.0,542.31,1527044400,BTC/USD,7960.0,9900.07479580777,0,9900.07479580777,0,0,0.0,0.0,0.0
19,23,19,2018-05-23T04:00:00.000000000,tensor([0]),-1,-0.9850432725094211,7870.35,3770631.06,7960.0,7960.0,476.48,1527048000,BTC/USD,7900.0,9973.67163165664,0,19798.169774638074,1.2436036290601806,0,3.7308108871805414e-06,0.0,0.007406471905212293
